monitoring_location_id,time,parameter_code,parameter_name,value,unit_of_measure,statistic_id,approval_status
USGS-01358000,2024-03-11,00060,,53300,ft^3/s,00003,Approved
USGS-01358000,2024-03-13,00060,,31800,ft^3/s,00003,Approved
USGS-01358000,2024-03-14,00060,,28400,ft^3/s,00003,Approved
USGS-01358000,2024-03-15,00060,,27700,ft^3/s,00003,Approved
USGS-01358000,2024-03-16,00060,,29700,ft^3/s,00003,Approved
USGS-01358000,2024-03-19,00060,,25500,ft^3/s,00003,Approved
USGS-01358000,2024-03-20,00060,,24100,ft^3/s,00003,Approved
USGS-01358000,2024-03-21,00060,,23100,ft^3/s,00003,Approved
USGS-01358000,2024-03-23,00060,,21800,ft^3/s,00003,Approved
USGS-01358000,2024-03-26,00060,,23100,ft^3/s,00003,Approved
USGS-01358000,2024-03-27,00060,,30700,ft^3/s,00003,Approved
USGS-01358000,2024-03-28,00060,,42100,ft^3/s,00003,Approved
USGS-01358000,2024-03-30,00060,,34400,ft^3/s,00003,Approved
USGS-01358000,2024-03-31,00060,,29500,ft^3/s,00003,Approved
USGS-01358000,2024-04-01,00060,,26400,ft^3/s,00003,Approved
USGS-01358000,2024-04-05,00060,,35000,ft^3/s,00003,Approved
USGS-01358000,2024-04-08,00060,,26700,ft^3/s,00003,Approved
USGS-01358000,2024-04-10,00060,,25200,ft^3/s,00003,Approved
USGS-01358000,2024-04-11,00060,,27000,ft^3/s,00003,Approved
USGS-01358000,2024-04-14,00060,,55800,ft^3/s,00003,Approved
USGS-01358000,2024-04-16,00060,,41000,ft^3/s,00003,Approved
USGS-01358000,2024-04-17,00060,,37600,ft^3/s,00003,Approved
USGS-01358000,2024-04-18,00060,,33600,ft^3/s,00003,Approved
USGS-01358000,2024-04-19,00060,,38000,ft^3/s,00003,Approved
USGS-01358000,2024-04-21,00060,,29500,ft^3/s,00003,Approved
USGS-01358000,2024-04-22,00060,,26800,ft^3/s,00003,Approved
USGS-01358000,2024-04-25,00060,,20100,ft^3/s,00003,Approved
USGS-01358000,2024-04-26,00060,,21400,ft^3/s,00003,Approved
USGS-01358000,2024-04-28,00060,,17800,ft^3/s,00003,Approved
USGS-01358000,2024-04-29,00060,,17700,ft^3/s,00003,Approved
USGS-01358000,2024-04-30,00060,,19000,ft^3/s,00003,Approved
USGS-01358000,2024-05-01,00060,,22900,ft^3/s,00003,Approved
USGS-01358000,2024-05-02,00060,,21800,ft^3/s,00003,Approved
USGS-01358000,2024-05-04,00060,,17600,ft^3/s,00003,Approved
USGS-01358000,2024-05-05,00060,,19300,ft^3/s,00003,Approved
USGS-01358000,2024-05-06,00060,,25300,ft^3/s,00003,Approved
USGS-01358000,2024-05-07,00060,,22200,ft^3/s,00003,Approved
USGS-01358000,2024-05-09,00060,,22700,ft^3/s,00003,Approved
USGS-01358000,2024-05-10,00060,,19200,ft^3/s,00003,Approved
USGS-01358000,2024-05-16,00060,,20000,ft^3/s,00003,Approved
USGS-01358000,2024-05-17,00060,,16000,ft^3/s,00003,Approved
USGS-01358000,2024-05-19,00060,,16600,ft^3/s,00003,Approved
USGS-01358000,2024-05-20,00060,,14200,ft^3/s,00003,Approved
USGS-01358000,2024-05-21,00060,,12100,ft^3/s,00003,Approved
USGS-01358000,2024-05-22,00060,,12500,ft^3/s,00003,Approved
USGS-01358000,2024-05-23,00060,,10100,ft^3/s,00003,Approved
USGS-01358000,2024-05-24,00060,,9240,ft^3/s,00003,Approved
USGS-01358000,2024-05-25,00060,,9880,ft^3/s,00003,Approved
USGS-01358000,2024-05-26,00060,,9590,ft^3/s,00003,Approved
USGS-01358000,2024-05-28,00060,,11800,ft^3/s,00003,Approved
USGS-01358000,2024-05-29,00060,,13800,ft^3/s,00003,Approved
USGS-01358000,2024-05-30,00060,,11800,ft^3/s,00003,Approved
USGS-01358000,2024-05-31,00060,,11200,ft^3/s,00003,Approved
USGS-01358000,2024-06-01,00060,,10500,ft^3/s,00003,Approved
USGS-01358000,2024-06-04,00060,,8950,ft^3/s,00003,Approved
USGS-01358000,2024-06-05,00060,,8880,ft^3/s,00003,Approved
USGS-01358000,2024-06-06,00060,,8840,ft^3/s,00003,Approved
USGS-01358000,2024-06-07,00060,,10300,ft^3/s,00003,Approved
USGS-01358000,2024-06-08,00060,,9750,ft^3/s,00003,Approved
USGS-01358000,2024-06-10,00060,,12000,ft^3/s,00003,Approved
USGS-01358000,2024-06-11,00060,,10900,ft^3/s,00003,Approved
USGS-01358000,2024-06-12,00060,,9930,ft^3/s,00003,Approved
USGS-01358000,2024-06-13,00060,,9130,ft^3/s,00003,Approved
USGS-01358000,2024-06-16,00060,,7880,ft^3/s,00003,Approved
USGS-01358000,2024-06-23,00060,,16100,ft^3/s,00003,Approved
USGS-01358000,2024-06-24,00060,,18300,ft^3/s,00003,Approved
USGS-01358000,2024-06-25,00060,,12500,ft^3/s,00003,Approved
USGS-01358000,2024-06-26,00060,,10800,ft^3/s,00003,Approved
USGS-01358000,2024-06-27,00060,,9800,ft^3/s,00003,Approved
USGS-01358000,2024-06-28,00060,,9210,ft^3/s,00003,Approved
USGS-01358000,2024-06-29,00060,,8660,ft^3/s,00003,Approved
USGS-01358000,2024-07-01,00060,,14600,ft^3/s,00003,Approved
USGS-01358000,2024-07-03,00060,,9780,ft^3/s,00003,Approved
USGS-01358000,2024-07-05,00060,,9280,ft^3/s,00003,Approved
USGS-01358000,2024-07-06,00060,,9200,ft^3/s,00003,Approved
USGS-01358000,2024-07-07,00060,,9230,ft^3/s,00003,Approved
USGS-01358000,2024-07-09,00060,,8390,ft^3/s,00003,Approved
USGS-01358000,2024-07-10,00060,,9030,ft^3/s,00003,Approved
USGS-01358000,2024-07-11,00060,,8870,ft^3/s,00003,Approved
USGS-01358000,2024-07-12,00060,,10500,ft^3/s,00003,Approved
USGS-01358000,2024-07-14,00060,,10700,ft^3/s,00003,Approved
USGS-01358000,2024-07-15,00060,,9740,ft^3/s,00003,Approved
USGS-01358000,2024-07-16,00060,,9350,ft^3/s,00003,Approved
USGS-01358000,2024-07-17,00060,,13300,ft^3/s,00003,Approved
USGS-01358000,2024-07-18,00060,,14700,ft^3/s,00003,Approved
USGS-01358000,2024-07-20,00060,,9350,ft^3/s,00003,Approved
USGS-01358000,2024-07-21,00060,,9360,ft^3/s,00003,Approved
USGS-01358000,2024-07-22,00060,,8950,ft^3/s,00003,Approved
USGS-01358000,2024-07-23,00060,,8640,ft^3/s,00003,Approved
